region_id,reg_name_e,reg_name_w,authority_id,auth_name_e,auth_name_w,country,filename,placename,region,geometry,old_filename
W10000001,North Wales,Gogledd Cymru,W06000004,Denbighshire,Sir Ddinbych,Wales,Denbighshire_parks.geojson,Denbighshire,W10000001,,Denbighshire_pp_or_g_cmb.geojson
E12000003,Yorkshire and The Humber,,E06000011,East Riding of Yorkshire,,England,East Riding of Yorkshire_parks.geojson,East Riding of Yorkshire,E12000003,,East Riding of Yorkshire_pp_or_g_cmb.geojson
E12000003,Yorkshire and The Humber,,E06000013,North Lincolnshire,,England,North Lincolnshire_parks.geojson,North Lincolnshire,E12000003,,North Lincolnshire_pp_or_g_cmb.geojson
E12000003,Yorkshire and The Humber,,E06000014,York,,England,York_parks.geojson,York,E12000003,,York_pp_or_g_cmb.geojson
E12000006,East of England,,E06000034,Thurrock,,England,Thurrock_parks.geojson,Thurrock,E12000006,,Thurrock_pp_or_g_cmb.geojson
E12000008,South East,,E06000035,Medway,,England,Medway_parks.geojson,Medway,E12000008,,Medway_pp_or_g_cmb.geojson
E12000002,North West,,E06000049,Cheshire East,,England,Cheshire East_parks.geojson,Cheshire East,E12000002,,Cheshire East_pp_or_g_cmb.geojson
E12000008,South East,,E06000060,Buckinghamshire,,England,Buckinghamshire_parks.geojson,Buckinghamshire,E12000008,,Buckinghamshire_pp_or_g_cmb.geojson
E12000004,East Midlands,,E06000062,West Northamptonshire,,England,West Northamptonshire_parks.geojson,West Northamptonshire,E12000004,,West Northamptonshire_pp_or_g_cmb.geojson
E12000003,Yorkshire and The Humber,,E06000065,North Yorkshire,,England,North Yorkshire_parks.geojson,North Yorkshire,E12000003,,North Yorkshire_pp_or_g_cmb.geojson
E12000004,East Midlands,,E07000141,South Kesteven,,England,South Kesteven_parks.geojson,South Kesteven,E12000004,,South Kesteven_pp_or_g_cmb.geojson
E12000005,West Midlands,,E08000025,Birmingham,,England,Birmingham_parks.geojson,Birmingham,E12000005,,Birmingham_pp_or_g_cmb.geojson
E12000005,West Midlands,,E08000028,Sandwell,,England,Sandwell_parks.geojson,Sandwell,E12000005,,Sandwell_pp_or_g_cmb.geojson
E12000005,West Midlands,,E08000030,Walsall,,England,Walsall_parks.geojson,Walsall,E12000005,,Walsall_pp_or_g_cmb.geojson
E12000007,London,,E09000027,Richmond upon Thames,,England,Richmond upon Thames_parks.geojson,Richmond upon Thames,E12000007,,Richmond upon Thames_pp_or_g_cmb.geojson
E12000008,South East,,E07000210,Mole Valley,,England,Mole Valley_parks.geojson,Mole Valley,E12000008,,Mole Valley_pp_or_g_cmb.geojson
E12000008,South East,,E07000227,Horsham,,England,Horsham_parks.geojson,Horsham,E12000008,,Horsham_pp_or_g_cmb.geojson
E12000002,North West,,E08000003,Manchester,,England,Manchester_parks.geojson,Manchester,E12000002,,Manchester_pp_or_g_cmb.geojson
E12000002,North West,,E08000004,Oldham,,England,Oldham_parks.geojson,Oldham,E12000002,,Oldham_pp_or_g_cmb.geojson
E12000002,North West,,E08000006,Salford,,England,Salford_parks.geojson,Salford,E12000002,,Salford_pp_or_g_cmb.geojson
E12000002,North West,,E08000007,Stockport,,England,Stockport_parks.geojson,Stockport,E12000002,,Stockport_pp_or_g_cmb.geojson
E12000002,North West,,E08000011,Knowsley,,England,Knowsley_parks.geojson,Knowsley,E12000002,,Knowsley_pp_or_g_cmb.geojson
